url,name,dev,description,genre,tags,status,platforms,publisher,release_date,made_with,rating,rating_count,average_session,languages,inputs,nsfw,safe_virus,notes,thumbnail
https://daijubudef.itch.io/you-fed-the-wrong-cat,You fed the wrong cat,Daijubudef,Pet evolution VN with slot-machine feeding gameplay and different endings.,"Visual Novel, Simulation","Creepy, Cute, Hand-drawn, Multiple Endings, Point & Click, Ren'Py, Spooky, Surreal",Released,"HTML5, Windows, macOS, Linux",N/A,N/A,Ren'Py,4.7,23,A few minutes,English,N/A,No,?,,https://img.itch.zone/aW1nLzI1Njk4ODg5LnBuZw==/original/0qqNBX.png
https://crocodill3s.itch.io/what-friends-are-for,What Friends Are For,crocodill3s,Having friends is a blessing! Especially when you need their help.,Visual Novel,"2D, Anime, Comedy, Multiple Endings, No AI, Ren'Py, satire, Short",Released,"HTML5, Windows, macOS, Linux",N/A,N/A,"Ren'Py, Clip Studio Paint",4.8,25,A few minutes,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1Nzk0MDc1LnBuZw==/original/dJZ3qV.png
https://wastyr.itch.io/cursed-meal,Cursed Meal,Wastyr,You start working at a quiet church.,Adventure,"3D, Atmospheric, Creepy, First-Person, Horror, PSX (PlayStation), Retro, Short, Singleplayer",Released,Windows,N/A,N/A,N/A,4.4,67,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MzM3NzAwLnBuZw==/original/9MOcbS.png
https://robobarbie.itch.io/love-is-trauma,LOVE IS TRAUMA,robobarbie,"Payment not specified - Howwywoob - Posted: Feb 15 Seeking crew for "" Love is Trauma "", a new reality television show about creating romance.",Visual Novel,"Amare, Comedy, LGBT, Otome, Short, shoujosei",Released,"Windows, macOS, Android",N/A,N/A,N/A,4.9,83,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1ODUyMTQ2LnBuZw==/original/Jey%2FrN.png
https://danieloschepkov.itch.io/where-is-my-mother,Where Is My Mother?,SeriousDaniel,WHERE IS YOUR MOTHER? A short and cozy game where you are looking for your mother.,Visual Novel,"3D, Atmospheric, Horror, No AI, Psychological Horror, Retro, Singleplayer",Released,Windows,N/A,N/A,"Unreal Engine, Blender, GIMP",5.0,5,A few minutes,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDQxNjMxLnBuZw==/original/mpQkq8.png
https://spicaze.itch.io/jane-doe,Jane Doe,Spica,A short conversation with an artist called Michel Liu.,Visual Novel,Pixel Art,Released,"HTML5, Windows",N/A,N/A,RPG Maker,4.6,40,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1NDE1ODgyLnBuZw==/original/Shc1Wa.png
https://raniltop.itch.io/elevator-to-the-5-floor,Elevator To The Fifth Floor,RanilTop,You are a pizza delivery person.,Adventure,"3D, Atmospheric, First-Person, Horror, Low-poly, ps1, PSX (PlayStation), Retro",Released,Windows,N/A,N/A,"Blender, Godot, Adobe Photoshop",4.4,5,About a half-hour,English,"Keyboard, Mouse",No,?,,https://img.itch.zone/aW1nLzIyNjg0MjA3LnBuZw==/original/rvBewu.png
https://kraajlanding.itch.io/bloodsuckers,Bloodsuckers,Kraaj,"Bloodsuckers is a linear furry visual novel that melds love, loss, and murder.",Visual Novel,"Bara, Experimental, Furry, Gay, Horror, LGBT, Narrative, Romance, Vampire, Yaoi",Released,"HTML5, Windows, macOS, Linux, Android",N/A,N/A,"Ren'Py, Audacity, Krita, Paint.net",4.5,11,About an hour,English,"Keyboard, Mouse",No,?,,https://img.itch.zone/aW1nLzE5NjY4NjUzLmpwZw==/original/r7ncAb.jpg
https://taintedpact88.itch.io/the-skin-stapler,The Skin Stapler,TaintedPact Games,https://store.,"Action, Adventure","3D, Atmospheric, Comedy, Creepy, Horror, Retro, Scary, Singleplayer, Thriller",Released,Windows,N/A,N/A,N/A,4.7,49,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI1MjE0MDY3LnBuZw==/original/fL%2FOQI.png
https://eatdcrayon.itch.io/flappy-plane,Flappy Plane,EatDcrayon,My First Game BTW,N/A,crayonplane,Released,Windows,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,?,,https://img.itch.zone/aW1nLzI2MDU2Nzk1LmpwZw==/original/WZAPpk.jpg
